business,month,Driver Earnings
Lyft,4,297815.3794941902
Uber,5,3.1300511453083175E8
Uber,4,2.950689272036143E8
Lyft,3,310276.54944992065
Uber,2,2.5215597708423987E8
Lyft,1,239932.2593984604
Uber,3,2.959584959978399E8
Uber,1,2.5025348066162878E8
Lyft,2,234875.5296087265
Lyft,5,360408.08971881866
