business,month,Platform Profit
Lyft,4,-90197.13001759537
Uber,5,1.6313361550055736E8
Uber,4,1.502698201941708E8
Lyft,3,-99403.93998675235
Uber,2,1.3062880563633616E8
Lyft,1,-72633.3500049822
Uber,3,1.5207287641912192E8
Uber,1,1.331971116246569E8
Lyft,2,-70064.72000297531
Lyft,5,-107719.21000343934
